#separator:tab
#html:false
Genus_cof_DNP	back_card
Gymnanthemum	Plantae - Tracheophyta - Magnoliopsida - Asterales - Asteraceae     https://www.gbif.org/species/3130898     https://en.wikipedia.org/wiki/Gymnanthemum     https://www.merriam-webster.com/dictionary/Gymnanthemum
Swartzia	Plantae - Tracheophyta - Magnoliopsida - Fabales - Fabaceae     https://www.gbif.org/species/2950920     https://en.wikipedia.org/wiki/Swartzia     https://www.merriam-webster.com/dictionary/Swartzia
Rohdea	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/2772817     https://en.wikipedia.org/wiki/Rohdea     https://www.merriam-webster.com/dictionary/Rohdea
Mangifera	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Anacardiaceae     https://www.gbif.org/species/3075453     https://en.wikipedia.org/wiki/Mangifera     https://www.merriam-webster.com/dictionary/Mangifera
Sapindus	Plantae - Tracheophyta - Magnoliopsida - Sapindales - Sapindaceae     https://www.gbif.org/species/3189983     https://en.wikipedia.org/wiki/Sapindus     https://www.merriam-webster.com/dictionary/Sapindus
Dioscorea	Plantae - Tracheophyta - Liliopsida - Dioscoreales - Dioscoreaceae     https://www.gbif.org/species/2754367     https://en.wikipedia.org/wiki/Dioscorea     https://www.merriam-webster.com/dictionary/Dioscorea
Ypsilandra	Plantae - Tracheophyta - Liliopsida - Liliales - Melanthiaceae     https://www.gbif.org/species/2742033     https://en.wikipedia.org/wiki/Ypsilandra     https://www.merriam-webster.com/dictionary/Ypsilandra
Aspidistra	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/2769883     https://en.wikipedia.org/wiki/Aspidistra     https://www.merriam-webster.com/dictionary/Aspidistra
Agave	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/2766430     https://en.wikipedia.org/wiki/Agave     https://www.merriam-webster.com/dictionary/Agave
Polygonatum	Plantae - Tracheophyta - Liliopsida - Asparagales - Asparagaceae     https://www.gbif.org/species/2769995     https://en.wikipedia.org/wiki/Polygonatum     https://www.merriam-webster.com/dictionary/Polygonatum
Lagenaria	Plantae - Tracheophyta - Magnoliopsida - Cucurbitales - Cucurbitaceae     https://www.gbif.org/species/2874671     https://en.wikipedia.org/wiki/Lagenaria     https://www.merriam-webster.com/dictionary/Lagenaria
Craibiodendron	Plantae - Tracheophyta - Magnoliopsida - Ericales - Ericaceae     https://www.gbif.org/species/7328929     https://en.wikipedia.org/wiki/Craibiodendron     https://www.merriam-webster.com/dictionary/Craibiodendron
